Payer,Pagar
Quel,Cuál 
Qui,Quién 
Quand,Cuándo 
Combien,Cuánto 
Comment,Cómo 
Marcher,Caminar
Les vacances,Los vacaciones
également,igualmente
trouver,encontrar
arriver,llegar
accueillir,acoger
content,contento
contente,contenta
souvenir,acordar
sud,sur
La vérité,La verdad
aussi,tambien
savoir,saber
avoir,tener
Le professeur,El professor
Enchanté,Encuantado
Enchantée,Encuantada
premier,primer
première,primera
deuxième,segundo
deuxième,segunda
fort,fuerte
acheter,comprar
cassé,roto
cassée,rota
casser,romper
sortir,salir
le prix,el precio
doucement,despacio
coûter,costar
même,misma
à  nouveau,otra vez
Je me demande,Me pregunto
avec moi,conmigo
jamais,nunca
facile,facil
simple,sencillo
brosser,cepillar
Le livre,el libro
se coucher,se acostar