La boucherie,La carniceria
La boulangerie ,La panaderia
L'université,La universidad
Le marché,El mercado
La poire,La pera
la pomme,La manzana
La tomate,El tomate
La fraise,La fresa
La barquette,La caja
La viande,El carne
La grillade,La asada
L'oeuf,El huevo
La pomme de terre,La patata
l'huile,El aceite
L'olive,la aceituna
l'huile d'olive,el aceite de oliva
Le filet mignon,el solomillo
La langoustine,la cigala
Le crustacé,el marisco
Le poulet,El pollo
Le blanc de poulet,La pechuga de pollo
La côte de porc,La chuleta de cerdo